"X","track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
4,"75FpbthrwQmzHlBJLuGdC7","Call You Mine - Keanu Silva Remix","The Chainsmokers",60,"1nqYsOef1yKKuGOVchbsk6","Call You Mine - The Remixes","2019-07-19",NA,"37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.93,7,-3.778,1,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093
25,"4sqABRRGU7CzcHXCyxUzFw","Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix","The Chainsmokers",58,"5vf16sRhXB2f3sS5kteU2T","Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow)","2019-05-24",NA,"37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.889,11,-3.785,1,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093
38,"7FDaS1k08rwMoAThmzUkOZ","Side Effects - Fedde Le Grand Remix","The Chainsmokers",63,"3Yb3f9PL7aBpjuJPyiV0ot","Side Effects - Remixes","2018-07-25","Pop Remix","37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.854,0,-4.046,0,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,172360
71,"05CwHjIk71RXVU40boRMnR","Call You Mine","The Chainsmokers",39,"1ONuDpN0a3zhCUyKCgtuzK","World War Joy","2019-05-31","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,217653
80,"6wo37KVqFJhtuxPTpLCcfe","Takeaway (feat. Lennon Stella)","The Chainsmokers",67,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
134,"7BKLCZ1jbUBVqRi2FVlTVw","Closer (feat. Halsey)","The Chainsmokers",85,"0rSLgV8p5FzfnqlEk4GzxE","Closer (feat. Halsey)","2016-07-29","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960
145,"6RUKPb4LETWmmr3iAEQktW","Something Just Like This","The Chainsmokers",83,"4JPguzRps3kuWDD5GS6oXr","Memories...Do Not Open","2017-04-07","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160
151,"3vv9phIu6Y1vX3jcqaGz5Z","Roses","The Chainsmokers",73,"2GFflENKz28RcMoSuulPZC","Roses","2015-06-16","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739
178,"5EdYlCWou17k0N1PADLKfO","Call You Mine - Asketa & Natan Chaim Remix","The Chainsmokers",58,"1nqYsOef1yKKuGOVchbsk6","Call You Mine - The Remixes","2019-07-19","Dance Room","37i9dQZF1DX2ENAPP1Tyed","pop","dance pop",0.577,0.844,7,-3.364,1,0.0406,0.00407,6.13e-06,0.499,0.283,115.066,183653
505,"3pWcj8hxj3fsb9TDAcMpEl","Somebody","The Chainsmokers",13,"4Mli74klkx5jMSZlqYa3Lh","Sick Boy","2018-04-20","Dance Pop","0B2HdP15IucgE0vk3sluJR","pop","dance pop",0.532,0.616,10,-7.074,0,0.0328,0.186,0,0.0928,0.292,101.883,223147
510,"50RJdoxw8iajGNtHQe6QeS","Something Just Like This - Alesso Remix","The Chainsmokers",56,"4uRfYhBBaSX8N3amojmMBE","Something Just Like This (Remix Pack)","2017-04-28","Dance Pop","0B2HdP15IucgE0vk3sluJR","pop","dance pop",0.672,0.73,2,-5.99,1,0.0472,0.24,0.000417,0.122,0.568,120.008,252933
519,"15BlympuVSfZFROojEMY2M","Don't Let Me Down - Illenium Remix","The Chainsmokers",64,"5yhNY3zM1Vx1oaL3GYTWIZ","Don't Let Me Down (Remixes)","2016-05-27","Dance Pop","0B2HdP15IucgE0vk3sluJR","pop","dance pop",0.428,0.656,11,-3.712,1,0.075,0.0751,0.181,0.15,0.355,79.648,218933
542,"3TKpJrY9q49Mj1JOsM9zGL","Family","The Chainsmokers",85,"01GR4NL5O5CZM51k0aejKD","World War Joy","2019-12-06","Dance Pop Tunes","4SdfG4cPG3skmTiQLozZGh","pop","dance pop",0.584,0.607,11,-6.605,1,0.0356,0.426,0,0.101,0.374,117.817,194827
