"X","track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
4,"75FpbthrwQmzHlBJLuGdC7","Call You Mine - Keanu Silva Remix","The Chainsmokers",60,"1nqYsOef1yKKuGOVchbsk6","Call You Mine - The Remixes","2019-07-19",NA,"37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.93,7,-3.778,1,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093
15,"55nMnifaQWKe3f9cbwOXwx","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix","Martin Garrix",63,"2vx3BtBMn8Ed3ygEg1OT2t","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes]","2019-07-12",NA,"37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.78,5,-4.446,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238
18,"3TjLsDgL0bTbSQIF6M5Ki8","Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix","David Guetta",65,"19z3vpbBT09lZ54neDfuFL","Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix]","2018-12-28",NA,"37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.747,10,-5.289,0,0.165,0.0395,0,0.174,0.516,120.002,189375
23,"1mC2UjWt25Oixtqu7C6suL","Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix","David Guetta",62,"1WhPuMFm5VaTJqe9rl3C5Q","Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix]","2019-05-08",NA,"37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.818,4,-4.477,0,0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968
25,"4sqABRRGU7CzcHXCyxUzFw","Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix","The Chainsmokers",58,"5vf16sRhXB2f3sS5kteU2T","Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow)","2019-05-24",NA,"37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.889,11,-3.785,1,0.0352,0.0163,1.86e-05,0.395,0.422,110.018,205093
38,"7FDaS1k08rwMoAThmzUkOZ","Side Effects - Fedde Le Grand Remix","The Chainsmokers",63,"3Yb3f9PL7aBpjuJPyiV0ot","Side Effects - Remixes","2018-07-25","Pop Remix","37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.854,0,-4.046,0,0.0432,0.0382,2.83e-05,0.434,0.659,126.026,172360
62,"4RaN7556EogBfF80klMEX2","Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix","David Guetta",58,"5DInvPwtc0gzZuZjpu1BHc","Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix]","2019-07-11","Pop Remix","37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",0.607,0.995,9,-2.325,0,0.0487,0.0921,0.002,0.0445,0.664,124.998,188640
71,"05CwHjIk71RXVU40boRMnR","Call You Mine","The Chainsmokers",39,"1ONuDpN0a3zhCUyKCgtuzK","World War Joy","2019-05-31","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,217653
80,"6wo37KVqFJhtuxPTpLCcfe","Takeaway (feat. Lennon Stella)","The Chainsmokers",67,"1JawI0XkEwmQ5Bwef3RMbq","World War Joy...Takeaway","2019-07-24","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
109,"1ahVFh0ViDZr8LvkEVlq3B","No Sleep (feat. Bonn)","Martin Garrix",76,"7KJTuTXYSnBGNgAxte3CSg","No Sleep (feat. Bonn)","2019-02-21","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.44,NA,11,-6.385,1,0.0326,0.129,0,0.121,0.327,128.133,207095
