"X","track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
18,"3TjLsDgL0bTbSQIF6M5Ki8","Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix","David Guetta",65,"19z3vpbBT09lZ54neDfuFL","Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix]","2018-12-28",NA,"37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.747,10,-5.289,0,0.165,0.0395,0,0.174,0.516,120.002,189375
23,"1mC2UjWt25Oixtqu7C6suL","Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix","David Guetta",62,"1WhPuMFm5VaTJqe9rl3C5Q","Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix]","2019-05-08",NA,"37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.818,4,-4.477,0,0.128,0.0469,3.39e-06,0.119,0.336,123.938,210968
62,"4RaN7556EogBfF80klMEX2","Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix","David Guetta",58,"5DInvPwtc0gzZuZjpu1BHc","Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix]","2019-07-11","Pop Remix","37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",0.607,0.995,9,-2.325,0,0.0487,0.0921,0.002,0.0445,0.664,124.998,188640
144,"762UXiwEHYY97VL45sAUPR","2U","David Guetta",66,"0EYVu7ginQ5nPsQj3woBAQ","2U","2017-06-09","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.551,0.651,8,-5.828,0,0.0594,0.225,0,0.224,0.562,144.875,194907
154,"3tTYxjYYcXFqFXA0AZ1Fav","Flames","David Guetta",57,"2Sq9AIsIrad2GygwB6QLPt","7","2018-09-14","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,195000
159,"0lHAMNU8RGiIObScrsRgmP","Titanium (feat. Sia)","David Guetta",66,"5aprcHwM1KJhaY9Kbxkfkn","Nothing but the Beat 2.0","2011-08-26","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040
195,"4YhN72dRYL2Z3MsaKyT7rS","Stay (Don't Go Away) [feat. Raye]","David Guetta",74,"581MrXg5n979mmvZaC6AOE","Stay (Don't Go Away) [feat. Raye]","2019-05-09","Dance Room","37i9dQZF1DX2ENAPP1Tyed","pop","dance pop",0.669,0.797,9,-5.68,0,0.0624,0.259,0,0.199,0.552,119.865,185943
220,"3GT2CBmJWIEdCpHiB31WYK","Never Be Alone (feat. Aloe Blacc)","David Guetta",68,"2bSuTiPTy8EhtwWbbmiPdK","Never Be Alone (feat. Aloe Blacc)","2019-07-26","Dance Room","37i9dQZF1DX2ENAPP1Tyed","pop","dance pop",0.535,0.906,6,-4.699,0,0.0353,0.0202,0.000715,0.0886,0.732,126.012,178671
262,"4Tvw0lweq9l2JPQKFbpbBQ","Better When You're Gone","David Guetta",76,"4ZoXNDicq0MrsGk1pM883o","Better When You're Gone","2019-02-08","Cardio","37i9dQZF1DWSJHnPb1f0X3","pop","dance pop",0.647,0.795,1,-3.548,0,0.0372,0.0635,0,0.188,0.409,127.992,192402
361,"6RnkFd8Fqqgk1Uni8RgqCQ","Like I Do","David Guetta",72,"5oU1ROIHS6IOWnb87GWhqU","Like I Do","2018-02-22","Pop Warmup 130 BPM","37i9dQZF1DX3PIAZMcbo2T","pop","dance pop",0.635,0.9,0,-3.719,0,0.0377,0.00664,0.0145,0.37,0.15,127.978,202500
503,"0PCRR19Pf4iiuvSrPxtQ0x","Sunshine","David Guetta",54,"4bTjdxhRRUiWfwj200f9Kl","Nothing but the Beat (Ultimate Edition)","2012-12-07","Dance Pop","0B2HdP15IucgE0vk3sluJR","pop","dance pop",0.59,0.8,1,-5.044,0,0.0437,0.00064,0.902,0.0512,0.219,127.994,360960
535,"2i2zYdN4KCkTCDscdMYr87","Lovers on the Sun (feat. Sam Martin)","David Guetta",47,"3UEEPh5wsdhP7SKC31yvhu","Listen (Deluxe)","2014-11-24","Dance Pop","0B2HdP15IucgE0vk3sluJR","pop","dance pop",0.645,0.891,6,-2.505,0,0.0387,0.0932,3.88e-06,0.379,0.568,124.915,203520
591,"0YammaEkYSeo9vQYZ1OwS6","Say My Name","David Guetta",78,"5rbJtzuXtpIP0Ykk7ewIit","7","2018-09-14","Dance Pop Tunes","4SdfG4cPG3skmTiQLozZGh","pop","dance pop",0.703,0.66,10,-5.119,0,0.123,0.137,0,0.192,0.79,95.031,198947
1374,"4Tvw0lweq9l2JPQKFbpbBQ","Better When You're Gone","David Guetta",76,"4ZoXNDicq0MrsGk1pM883o","Better When You're Gone","2019-02-08","Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop","46Cl6dmeiylK6TRGXr7hHe","pop","post-teen pop",0.647,0.795,1,-3.548,0,0.0372,0.0635,0,0.188,0.409,127.992,192402
1776,"0TDLuuLlV54CkRRUOahJb4","Titanium (feat. Sia)","David Guetta",79,"4bTjdxhRRUiWfwj200f9Kl","Nothing but the Beat (Ultimate Edition)","2012-12-07","Post pop teen","222nc9tKxKhfZ2GBrOpwH3","pop","post-teen pop",0.604,0.787,0,-3.674,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040
