"X","track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
15,"55nMnifaQWKe3f9cbwOXwx","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix","Martin Garrix",63,"2vx3BtBMn8Ed3ygEg1OT2t","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes]","2019-07-12",NA,"37i9dQZF1DXcZDD7cfEKhW","pop","dance pop",NA,0.78,5,-4.446,0,0.0594,0.00733,0.00183,0.0729,0.238,126.07,255238
109,"1ahVFh0ViDZr8LvkEVlq3B","No Sleep (feat. Bonn)","Martin Garrix",76,"7KJTuTXYSnBGNgAxte3CSg","No Sleep (feat. Bonn)","2019-02-21","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.44,NA,11,-6.385,1,0.0326,0.129,0,0.121,0.327,128.133,207095
126,"4aTtHoSBB0CuQGA6vXBNyp","Home (feat. Bonn)","Martin Garrix",72,"1cL51Zp86zgzMDTXRiq8w9","Home (feat. Bonn)","2019-08-16","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,239067
138,"3ebXMykcMXOcLeJ9xZ17XH","Scared to Be Lonely","Martin Garrix",81,"2v9rQe4F8fVSh5v8bAq0jF","Scared to Be Lonely","2017-01-27","Dance Pop","37i9dQZF1DWZQaaqNMbbXa","pop","dance pop",0.584,0.54,1,-7.786,0,0.0576,0.0895,0,0.261,0.195,137.972,220883
200,"7pWK1kMgHy5lNNiIfuRbkP","Used To Love (with Dean Lewis)","Martin Garrix",83,"3YD1qyD9KPFzzTK1UC1Gvo","Used To Love (with Dean Lewis)","2019-10-31","Dance Room","37i9dQZF1DX2ENAPP1Tyed","pop","dance pop",0.651,0.693,4,-4.722,1,0.0375,0.458,0,0.335,0.392,118.97,236765
238,"5YN0zHycJ0Yxz31A5QsVov","These Are The Times (feat. JRM)","Martin Garrix",71,"2OkqLVAw949KZZ8lgMMIdj","These Are The Times (feat. JRM)","2019-07-18","Cardio","37i9dQZF1DWSJHnPb1f0X3","pop","dance pop",0.687,0.707,4,-6.19,1,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,188656
301,"7Feaw9WAEREY0DUOSXJLOM","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",83,"0xbuJLlb5afBcmCpdOaszR","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","2019-04-25","Dance Pop Hits","37i9dQZF1DX6pH08wMhkaI","pop","dance pop",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,163805
338,"4ut5G4rgB1ClpMTMfjoIuy","High On Life (feat. Bonn)","Martin Garrix",77,"1GUfof1gHsqYjoHFym3aim","High On Life (feat. Bonn)","2018-07-29","Pop Warmup 130 BPM","37i9dQZF1DX3PIAZMcbo2T","pop","dance pop",0.414,0.486,6,-6.431,0,0.0311,0.0129,0,0.111,0.368,128.038,230762
342,"7IWTIkiWGWNQyYfOLdMrGD","Burn Out (feat. Dewain Whitmore)","Martin Garrix",68,"3feYPmyPH7tqh1ZfsU0D0i","Burn Out (feat. Dewain Whitmore)","2018-09-14","Pop Warmup 130 BPM","37i9dQZF1DX3PIAZMcbo2T","pop","dance pop",0.594,0.722,4,-5.751,0,0.0398,0.0156,0,0.0667,0.407,127.877,200322
349,"47knrBbYhqtrggWYSkU6h1","Glitch","Martin Garrix",56,"1Vb1gttHEF1ehOTvga4VSM","Glitch","2018-12-14","Pop Warmup 130 BPM","37i9dQZF1DX3PIAZMcbo2T","pop","dance pop",0.715,0.792,2,-6.4,0,0.0325,0.055,0.0236,0.269,0.357,128.024,185161
