"X","track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
2348,"2a1o6ZejUi8U3wzzOtCOYw","Danza Kuduro","Don Omar",75,"6mGDfbDErYIJsmSewvccWm","Meet The Orphans","2010-01-01","post teen pop","6rjxP7GQKoqqgoakzxl3PY","pop","post-teen pop",0.4,0.915,0,-4.89,1,0.28,0.0846,0,0.0503,0.878,88.917,198773
8151,"5hxyXBPrfox78jdLaSAjwg","Danza Kuduro - Radio Edit","Don Omar",0,"3VqeFt9wKvd51WhdZiC4M2","Time Only The Hits","2014-02-18","HIP&HOP","5DyJsJZOpMJh34WvUrQzMV","rap","southern hip hop",0.699,0.899,0,-5.601,1,0.12,0.121,0,0.043,0.887,130.102,199197
18469,"2a1o6ZejUi8U3wzzOtCOYw","Danza Kuduro","Don Omar",75,"6mGDfbDErYIJsmSewvccWm","Meet The Orphans","2010-01-01","Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖","2kY6lVc5EcVfI5WNKmPQQG","latin","latin pop",0.4,0.915,0,-4.89,1,0.28,0.0846,0,0.0503,0.878,88.917,198773
18492,"2rXZir7PFYmCw93pK3iVaW","Te Quiero Pa´Mi","Don Omar",65,"1jvfABr5t081rCAjajFQey","King Of Kings 10th Anniversary (Remastered)","2016-11-11","Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖","2kY6lVc5EcVfI5WNKmPQQG","latin","latin pop",0.759,0.812,1,-3.95,1,0.0593,0.122,4.51e-05,0.192,0.661,88.995,211627
18499,"43CL49bukqUMNxontuQtR2","Zumba","Don Omar",57,"24j7U1hm7C8WDr8cMdKcxt","Don Omar Presents MTO2: New Generation","2012-01-01","Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖","2kY6lVc5EcVfI5WNKmPQQG","latin","latin pop",0.729,0.894,5,-3.494,1,0.0397,0.00205,0.021,0.128,0.832,124.992,263973
18504,"0Mk48GaMgw0qz0auSymuHd","Perdido En Tus Ojos","Don Omar",58,"57mWSm5UtRGT08KeJuyZqu","The Last Don II","2015-06-16","Fiesta Latina Mix 🎈🎉💃🏻🕺🏻☀️🏖","2kY6lVc5EcVfI5WNKmPQQG","latin","latin pop",0.684,0.882,5,-4.546,1,0.0312,0.169,1.95e-06,0.226,0.787,95.986,234080
18886,"417Lz9vsyAlnPkOZFMiJib","No Te Vayas","Don Omar",56,"4SFhOkDuVdKbNaTHAwg07U","No Te Vayas","2019-11-22","Reggaeton 2020 ☀","7xWuNevFBmwnFEg6wzdCc7","latin","reggaeton",0.759,0.692,10,-6.759,1,0.0382,0.171,3.77e-05,0.0864,0.652,93.95,238733
18905,"48NXpYRuvv9izul4oXhqS9","Salió El Sol","Don Omar",72,"5LbfmeWh5cvLpR1Nfvdch5","King Of Kings","2006-01-01","Reggaeton Classics","37i9dQZF1DX8SfyqmSFDwe","latin","reggaeton",0.887,0.701,4,-5.892,0,0.0873,0.106,0.00948,0.0466,0.965,110.002,315293
18915,"26RZ3DhnVlytdG6N1oxW1E","Pobre Diabla","Don Omar",12,"3hKDEHUzH1GmdohemezsEw","The Gold Series ""The Last Don""","2004-01-01","Reggaeton Classics","37i9dQZF1DX8SfyqmSFDwe","latin","reggaeton",0.748,0.763,5,-6.995,1,0.0517,0.453,0.0179,0.0877,0.849,91.979,252480
18920,"32SmDHzbqYRAhX9Jq4gDnT","No Se De Ella ""My Space""","Don Omar",50,"5P7eeivoVmpnalOUtwzj4h","King Of Kings (Armageddon Edition)","2006-01-01","Reggaeton Classics","37i9dQZF1DX8SfyqmSFDwe","latin","reggaeton",0.815,0.676,9,-9.174,0,0.0934,0.233,0.0237,0.242,0.77,88.008,222600
18925,"69Ej1xrGjOcHvIMtMKxK0G","Dile","Don Omar",73,"4vOvr0tdZWoIGjnHe9jLqz","The Last Don","2003-01-01","Reggaeton Classics","37i9dQZF1DX8SfyqmSFDwe","latin","reggaeton",0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,204600
18930,"3gvGnkmg8zVZdBAx4B7Cvq","Ayer La Vi","Don Omar",51,"5P7eeivoVmpnalOUtwzj4h","King Of Kings (Armageddon Edition)","2006-01-01","Reggaeton Classics","37i9dQZF1DX8SfyqmSFDwe","latin","reggaeton",0.801,0.716,7,-8.398,0,0.0541,0.285,1e-05,0.163,0.771,94.005,252387
18940,"2U4kPiipwfc2oHmd0nGoj5","Dutty Love","Don Omar",60,"24j7U1hm7C8WDr8cMdKcxt","Don Omar Presents MTO2: New Generation","2012-01-01","Reggaeton Classics","37i9dQZF1DX8SfyqmSFDwe","latin","reggaeton",0.742,0.873,1,-3.373,1,0.082,0.232,1.17e-05,0.114,0.899,90.004,285333
18949,"5nJaS3PEpyPfaWiLxIGtRX","Virtual Diva","Don Omar",62,"20Jf4Vb1V3MMv1QI1cKNNI","iDon","2009-01-01","Reggaeton Classics","37i9dQZF1DX8SfyqmSFDwe","latin","reggaeton",0.785,0.881,8,-4.205,0,0.0505,0.212,0,0.753,0.729,113.999,239493
18958,"4BxzNZpcm1j3JczZzGNe2k","Bandoleros","Don Omar",67,"4SJhZBuuLYlwUJGxWf8Pj0","The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack)","2006-06-20","Reggaeton Classics","37i9dQZF1DX8SfyqmSFDwe","latin","reggaeton",0.662,0.896,5,-5.311,0,0.251,0.318,0,0.186,0.79,90.622,305280
19127,"7EjH9riHigml4DfyaAoHGr","Salió El Sol","Don Omar",31,"5P7eeivoVmpnalOUtwzj4h","King Of Kings (Armageddon Edition)","2006-01-01","Reggaeton De Ayer","37i9dQZF1DWWU6Rfto8Ppm","latin","reggaeton",0.884,0.727,4,-5.907,0,0.0845,0.104,0.00929,0.0432,0.963,110,317280
19130,"1ji6mY9Gv7dO48rohMIr6p","Dile","Don Omar",49,"6CqWsUd484u7T1xQzQGBYy","Reggaeton Hitmakers Tropical Blend","2006-01-01","Reggaeton De Ayer","37i9dQZF1DWWU6Rfto8Ppm","latin","reggaeton",0.822,0.744,9,-6.096,1,0.0938,0.173,7.08e-05,0.0692,0.748,94.039,206987
19146,"4s7DK08ZqqU5EnjvQ6Vlle","Hasta Abajo","Don Omar",57,"6mGDfbDErYIJsmSewvccWm","Meet The Orphans","2010-01-01","Reggaeton De Ayer","37i9dQZF1DWWU6Rfto8Ppm","latin","reggaeton",0.697,0.919,7,-3.867,1,0.0792,0.432,0.0206,0.0882,0.683,179.988,232227
19190,"7zK02QSoQlMO0RAVqN0CI7","Dale Don Dale","Don Omar",3,"1qAvdZ9qvDBNEwzAJkZ68V","Obsesión Latina","2014-02-14","Reggaeton De Ayer","37i9dQZF1DWWU6Rfto8Ppm","latin","reggaeton",0.825,0.852,6,-6.471,0,0.0789,0.0282,0.000264,0.13,0.813,95.028,214354
19299,"2rXZir7PFYmCw93pK3iVaW","Te Quiero Pa´Mi","Don Omar",65,"1jvfABr5t081rCAjajFQey","King Of Kings 10th Anniversary (Remastered)","2016-11-11","Reggaeton Rewind","37i9dQZF1DXco4ODkIraMD","latin","reggaeton",0.759,0.812,1,-3.95,1,0.0593,0.122,4.51e-05,0.192,0.661,88.995,211627
19325,"4WEJrZwPMwsAUks6GOhnsz","Dale Don Dale","Don Omar",2,"1gasaFZ0ntJI6YRYcIBT4o","Obsesión Latina","2004-06-20","REGGAETON ANTIGUO 🔥","42E6uFhL4e2nXmbmeigwXb","latin","reggaeton",0.825,0.852,6,-6.471,0,0.0789,0.0282,0.000264,0.13,0.813,95.028,214354
19336,"59VfSMPf55wSYTdZjQCHN6","Taboo","Don Omar",1,"0LH4eSAO6N1tIR5FFE5k6A","Meet The Orphans","2010-01-01","REGGAETON ANTIGUO 🔥","42E6uFhL4e2nXmbmeigwXb","latin","reggaeton",0.442,0.884,5,-5.782,1,0.0641,0.0458,0,0.0827,0.813,125.031,292160
19346,"5YiYgzELh2M8I3LyLOMnNz","Guaya Guaya","Don Omar",49,"2iPVFtuvFNaK04ZFpUj1Us","Guaya Guaya","2014-08-12","REGGAETON ANTIGUO 🔥","42E6uFhL4e2nXmbmeigwXb","latin","reggaeton",0.689,0.872,7,-2.116,1,0.243,0.00661,0.000196,0.136,0.687,183.942,194013
19410,"3mRC75ORY0GOABiqe1uZIg","Sexy Robotica","Don Omar",0,"495r96T3NFoV3kM71pIcfx","iDon","2009-01-01","REGGAETON VIEJO","31hG19URdBvLEpQWKFYfdD","latin","reggaeton",0.741,0.867,6,-5.138,1,0.0334,0.000443,5.6e-06,0.449,0.561,112.011,233987
19415,"1hDCvZHOJiUbTPHLGjuv3L","Salio El Sol","Don Omar",0,"4DqBvmR1J7B4dWlL863ene","King Of Kings (Armageddon Edition)","2006-01-01","REGGAETON VIEJO","31hG19URdBvLEpQWKFYfdD","latin","reggaeton",0.883,0.722,4,-5.862,0,0.0844,0.104,0.0127,0.043,0.964,110,317280
19416,"0vnzk4L0JyMODSqLp3pHwo","Virtual Diva","Don Omar",57,"5tOWTmiFfFhNUuYntiopu8","Virtual Diva","2009-01-01","REGGAETON VIEJO","31hG19URdBvLEpQWKFYfdD","latin","reggaeton",0.783,0.87,8,-4.657,0,0.0485,0.185,0,0.393,0.692,114.012,242733
19424,"4f49sFQko7jHLEFd3tCf5p","Ojitos Chiquitos","Don Omar",68,"5LbfmeWh5cvLpR1Nfvdch5","King Of Kings","2006-01-01","REGGAETON VIEJO","31hG19URdBvLEpQWKFYfdD","latin","reggaeton",0.801,0.839,1,-3.267,0,0.24,0.0206,7.65e-05,0.0946,0.792,170.011,229027
19434,"6dSoW6hE1DZ0cnGbEN3tMs","No Se De Ella ""My Space""","Don Omar",0,"4DqBvmR1J7B4dWlL863ene","King Of Kings (Armageddon Edition)","2006-01-01","REGGAETON VIEJO","31hG19URdBvLEpQWKFYfdD","latin","reggaeton",0.815,0.676,9,-9.174,0,0.0934,0.233,0.0237,0.242,0.77,88.008,222401
19435,"7y3q0izJ5weq86CLTu71u1","Ayer La Vi","Don Omar",0,"4DqBvmR1J7B4dWlL863ene","King Of Kings (Armageddon Edition)","2006-01-01","REGGAETON VIEJO","31hG19URdBvLEpQWKFYfdD","latin","reggaeton",0.801,0.716,7,-8.398,0,0.0541,0.285,1e-05,0.18,0.771,94.005,251890
19437,"3kD4wY5ODucuaCv78278Fb","Blue Zone","Don Omar",0,"495r96T3NFoV3kM71pIcfx","iDon","2009-01-01","REGGAETON VIEJO","31hG19URdBvLEpQWKFYfdD","latin","reggaeton",0.796,0.712,10,-4.47,0,0.0541,0.0424,0.00032,0.455,0.478,94.97,211093
19445,"3FwSgJI8kdxuBJXHGRLhOi","Hooka","Don Omar",49,"3F41BssbVvfFnh6DdDODeO","Meet The Orphans","2010-01-01","REGGAETON VIEJO","31hG19URdBvLEpQWKFYfdD","latin","reggaeton",0.732,0.86,1,-5.09,1,0.16,0.0468,0,0.804,0.817,170.012,237960
19446,"3NgDulHteTVdF026IxY5bW","RX","Don Omar",49,"3F41BssbVvfFnh6DdDODeO","Meet The Orphans","2010-01-01","REGGAETON VIEJO","31hG19URdBvLEpQWKFYfdD","latin","reggaeton",0.7,0.869,11,-4.452,0,0.284,0.109,0,0.13,0.907,180.124,225013
19480,"6W3ZaOQ1pAw1WDMq1Ljibk","Good Looking","Don Omar",47,"3F41BssbVvfFnh6DdDODeO","Meet The Orphans","2010-01-01","REGGAETON VIEJO","31hG19URdBvLEpQWKFYfdD","latin","reggaeton",0.655,0.878,1,-6.684,0,0.164,0.00865,0,0.733,0.76,92.957,258627
19481,"4phHbFt0h1NRXIgMNM8t0Q","En Su Nota","Don Omar",1,"2ah0xzOU2sqN46Lc665g0Z","King Of Kings","2006-01-01","REGGAETON VIEJO","31hG19URdBvLEpQWKFYfdD","latin","reggaeton",0.657,0.843,6,-5.927,0,0.272,0.00498,2.5e-05,0.156,0.883,192.043,219333
19503,"1AMMH22Y62rF3PDLTVhIFL","Vacilón","Don Omar",61,"4MFjHHrBgIfM9qE71LhvPU","Vacilón","2019-08-16","Todo Reggaeton","4csIMGPI3aGo3Xy7WG8jBi","latin","reggaeton",0.734,0.519,8,-9.483,0,0.0824,0.00814,0.148,0.311,0.685,82.982,177293
19577,"4m2bEwpdeprzAh5iLJagYx","Dile","Don Omar",0,"0xTNUzZMy82tgUZvj1tUUJ","The Last Don (International Version)","2003","Reggaeton viejito🔥","0si5tw70PIgPkY1Eva6V8f","latin","reggaeton",0.828,0.714,4,-7.438,0,0.139,0.208,2.25e-05,0.0528,0.724,94.03,204600
19589,"1JYKbarxvGPD5ml1P2O9H7","Pobre Diabla","Don Omar",1,"79KPkaE4QPabKOgieg8HTM","The Gold Series ""The Last Don""","2004","Reggaeton viejito🔥","0si5tw70PIgPkY1Eva6V8f","latin","reggaeton",0.741,0.748,9,-7.006,0,0.0568,0.423,0.0109,0.0849,0.85,92.052,252480
19594,"67L03LeXeZ73X7opELnh5P","No Se De Ella ""My Space""","Don Omar",60,"0AoZnrTRIT13WvCDdiVILN","No Se De Ella ""My Space""","2008-01-01","Reggaeton viejito🔥","0si5tw70PIgPkY1Eva6V8f","latin","reggaeton",0.817,0.667,9,-9.182,0,0.092,0.244,0.0122,0.258,0.776,88.011,222680
19613,"5Mz30xAlgBsPHWmOAPm0yJ","Dutty Love","Don Omar",3,"2YYpLxMxc18C1ePTt3TmVK","Don Omar Presents MTO2: New Generation","2012-01-01","Reggaeton viejito🔥","0si5tw70PIgPkY1Eva6V8f","latin","reggaeton",0.738,0.875,1,-3.365,1,0.109,0.236,1.39e-05,0.13,0.91,90.036,285333
19643,"6gokadtiVvFO0nuAoOLX98","Ramayama","Don Omar",67,"4HtvEbNQ4esvgvSuBO6JnM","Ramayama","2019-04-20","This Is: Don Omar","37i9dQZF1DWYBUdckfg1va","latin","reggaeton",0.696,0.708,9,-5.252,0,0.138,0.187,0,0.387,0.961,149.994,195987
