"X","track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
1960,"7hQJA50XrCWABAu5v6QZ4i","Don't Stop Me Now - 2011 Mix","Queen",75,"21HMAUrbbYSj9NiPPlGumy","Jazz (Deluxe Remastered Version)","1978-11-10","Dr. Q's Prescription Playlist💊","6jAPdgY9XmxC9cgkXAVmVv","pop","post-teen pop",0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,209413
3583,"1lpFXKKckqVkyAN1lPwwC2","Radio Ga Ga","Queen",3,"39MMaY4ampwjkSOFahHnKi","The Works","1984-02-27","80's Songs | Top 💯 80s Music Hits","65HtIbyFkaQPflCa4oW8KO","pop","electropop",0.762,0.414,5,-12.036,1,0.0379,0.173,0.000111,0.0942,0.731,112.398,349133
11727,"1lCRw5FEZ1gPDNPzy1K4zW","We Are The Champions - Remastered 2011","Queen",76,"7tB40pGzj6Tg0HePj2jWZt","News Of The World (2011 Remaster)","1977-10-28","Mega Rock Ballads: The Best Slow Rock Compilation Ever !","6LJtRKgDpzM8ZbbwC0jLhe","rock","album rock",0.268,0.459,10,-6.94,1,0.0346,0.378,0,0.118,0.175,64.177,179200
11800,"1CnN9udhDokm7lARZjMji2","Killer Queen - Remastered 2011","Queen",21,"2mEAmmRoZrvhBh1Vic03fZ","Sheer Heart Attack (2011 Remaster)","1974-11-08","House Of The Rising Sun","1bMYfBHYBCRHY5LGkjlpSy","rock","album rock",0.535,0.651,10,-6.326,1,0.0544,0.391,0,0.133,0.612,117.218,179600
11801,"45Zo6ftGzq6wRckCUrMoBJ","Under Pressure - Remastered","Queen",35,"1PpNIByYpOjEhXhX6JT4AL","Queen 40 Limited Edition Collector's Box Set Vol. 2","2011-01-01","House Of The Rising Sun","1bMYfBHYBCRHY5LGkjlpSy","rock","album rock",0.671,0.711,2,-7.813,1,0.0478,0.422,0,0.104,0.466,113.809,248440
11802,"54flyrjcdnQdco7300avMJ","We Will Rock You - Remastered","Queen",70,"6Di4m5k1BtMJ0R44bWNutu","News Of The World (Deluxe Remastered Version)","1977-10-28","House Of The Rising Sun","1bMYfBHYBCRHY5LGkjlpSy","rock","album rock",0.693,0.497,2,-7.316,1,0.119,0.679,0,0.258,0.473,81.308,122067
11917,"10kmdx4OFs3OHwGa1CfYOF","We Are The Champions","Queen",0,"66yArVefBpmTdg07XoqRWw","We Will Rock You","1992","70s Pop & Rock Hits and Deep Tracks","1uKFRCQYci8kVgMy3xzTVH","rock","album rock",0.281,0.312,10,-14.576,1,0.033,0.45,1.26e-06,0.0949,0.221,90.143,180800
12066,"4Y1pFoYkE9aulSGRD39nqU","Keep Yourself Alive - 2011 Mix","Queen",42,"1kkb8xlG9yssEVsWKiEtAB","Queen (2011 Remaster)","1973-07-13","The Queen - La Discografia Completa","3E88dLx4fgFYY70gdGzdnB","rock","album rock",0.442,0.736,9,-9.546,1,0.0744,0.257,7.31e-05,0.157,0.597,134.21,227467
12067,"6PT7wUJefYPEU1lX1lcLRJ","Doing Alright - Remastered 2011","Queen",42,"1kkb8xlG9yssEVsWKiEtAB","Queen (2011 Remaster)","1973-07-13","The Queen - La Discografia Completa","3E88dLx4fgFYY70gdGzdnB","rock","album rock",0.339,0.286,9,-12.334,1,0.0344,0.752,2.71e-05,0.085,0.192,93.013,249213
12068,"385Urz8Qa8CIcK9tl3SA8g","Great King Rat - Remastered 2011","Queen",37,"1kkb8xlG9yssEVsWKiEtAB","Queen (2011 Remaster)","1973-07-13","The Queen - La Discografia Completa","3E88dLx4fgFYY70gdGzdnB","rock","album rock",0.35,0.845,4,-12.339,0,0.2,0.0424,0.000622,0.111,0.421,135.252,342880
