"track_name","energy","liveness","valence","speechiness","danceability","track_artist","playlist_genre","count"
"Closer (feat. Halsey)",0.524,0.111,0.661,0.0338,0.748,"The Chainsmokers","pop",4
"Don't Let Me Down",0.869,0.136,0.422,0.172,0.532,"The Chainsmokers","pop",3
"Roses",0.802,0.309,0.343,0.0561,0.713,"The Chainsmokers","pop",3
"Takeaway (feat. Lennon Stella)",0.505,0.0977,0.357,0.042,0.294,"The Chainsmokers","pop",3
"Who Do You Love",0.835,0.219,0.435,0.0447,0.51,"The Chainsmokers","pop",3
"All We Know",0.586,0.115,0.296,0.0307,0.662,"The Chainsmokers","pop",2
"Call You Mine",0.702,0.414,0.501,0.0289,0.591,"The Chainsmokers","pop",2
"Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,0.118,0.566,0.0394,0.6,"The Chainsmokers","pop",2
"Closer - T-Mass Remix",0.821,0.0796,0.608,0.0444,0.7,"The Chainsmokers","rap",1
"Closer (feat. Halsey)",0.524,0.111,0.661,0.0338,0.748,"The Chainsmokers","rap",1
"Don't Let Me Down",0.869,0.136,0.422,0.172,0.532,"The Chainsmokers","rap",1
"Don't Let Me Down - Illenium Remix",0.656,0.15,0.355,0.075,0.428,"The Chainsmokers","rap",1
"Side Effects - Nolan van Lith Remix",0.939,0.0561,0.516,0.0977,0.548,"The Chainsmokers","rap",1
"Siren",0.779,0.371,0.264,0.107,0.588,"The Chainsmokers","rap",1
"Closer (feat. Halsey)",0.524,0.111,0.661,0.0338,0.748,"The Chainsmokers","latin",3
"Call You Mine",0.702,0.414,0.501,0.0289,0.591,"The Chainsmokers","latin",2
"Takeaway (feat. Lennon Stella)",0.505,0.0977,0.357,0.042,0.294,"The Chainsmokers","r&b",2
"Call You Mine",0.702,0.414,0.501,0.0289,0.591,"The Chainsmokers","r&b",1
"Closer (feat. Halsey)",0.524,0.111,0.661,0.0338,0.748,"The Chainsmokers","r&b",1
"Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,0.118,0.566,0.0394,0.6,"The Chainsmokers","r&b",1
"Family",0.607,0.101,0.374,0.0356,0.584,"The Chainsmokers","r&b",1
"Roses",0.802,0.309,0.343,0.0561,0.713,"The Chainsmokers","r&b",1
"Sick Boy",0.58,0.127,0.462,0.121,0.548,"The Chainsmokers","r&b",1
"Somebody",0.63,0.102,0.323,0.0493,0.32,"The Chainsmokers","r&b",1
"Who Do You Love",0.783,0.174,0.493,0.0388,0.529,"The Chainsmokers","r&b",1
