"track_name","energy","loudness","liveness","valence","speechiness","danceability","count","track_artist"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,6,"David Guetta"
"Bad (feat. Vassy) - Radio Edit",0.972,-3.927,0.328,0.411,0.088,0.614,6,"David Guetta"
"Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,5,"David Guetta"
"Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,5,"David Guetta"
"Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,5,"David Guetta"
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,5,"David Guetta"
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,5,"David Guetta"
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,5,"David Guetta"
"Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,5,"David Guetta"
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,5,"David Guetta"
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,-4.359,0.115,0.035,0.0549,0.347,5,"David Guetta"
"Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,5,"David Guetta"
"Lovers on the Sun (feat. Sam Martin)",0.891,-2.505,0.379,0.568,0.0387,0.645,4,"David Guetta"
"Lovers on the Sun (feat. Sam Martin)",0.891,-2.505,0.379,0.568,0.0387,0.645,4,"David Guetta"
"Lovers on the Sun (feat. Sam Martin)",0.891,-2.505,0.379,0.568,0.0387,0.645,4,"David Guetta"
"Lovers on the Sun (feat. Sam Martin)",0.891,-2.505,0.379,0.568,0.0387,0.645,4,"David Guetta"
"Never Be Alone (feat. Aloe Blacc)",0.906,-4.699,0.0886,0.732,0.0353,0.535,3,"David Guetta"
"Memories (feat. Kid Cudi)",0.87,-6.103,0.246,0.502,0.26,0.544,3,"David Guetta"
"Without You (feat. Usher)",0.614,-3.727,0.157,0.402,0.0285,0.608,3,"David Guetta"
"Play Hard (feat. Ne-Yo & Akon)",0.921,-1.702,0.331,0.8,0.0533,0.691,3,"David Guetta"
"Memories (feat. Kid Cudi)",0.899,-3.937,0.229,0.47,0.233,0.546,3,"David Guetta"
"Without You (feat. Usher)",0.614,-3.727,0.157,0.402,0.0285,0.608,3,"David Guetta"
"Never Be Alone (feat. Aloe Blacc)",0.906,-4.699,0.0886,0.732,0.0353,0.535,3,"David Guetta"
"Never Be Alone (feat. Aloe Blacc)",0.906,-4.699,0.0886,0.732,0.0353,0.535,3,"David Guetta"
"Without You (feat. Usher)",0.614,-3.727,0.157,0.402,0.0285,0.608,3,"David Guetta"
"Play Hard (feat. Ne-Yo & Akon)",0.921,-1.702,0.331,0.8,0.0533,0.691,3,"David Guetta"
"Play Hard (feat. Ne-Yo & Akon)",0.921,-1.702,0.331,0.8,0.0533,0.691,3,"David Guetta"
"Memories (feat. Kid Cudi)",0.919,-3.927,0.231,0.351,0.266,0.545,3,"David Guetta"
"Flames",0.726,-4.346,0.0895,0.362,0.0414,0.609,2,"David Guetta"
"Say My Name",0.66,-5.119,0.192,0.79,0.123,0.703,2,"David Guetta"
"Turn Me On (feat. Nicki Minaj)",0.793,-2.266,0.575,0.412,0.0591,0.704,2,"David Guetta"
"Sexy Bitch (feat. Akon)",0.627,-5.018,0.131,0.801,0.0486,0.813,2,"David Guetta"
"Bang My Head (feat. Sia & Fetty Wap)",0.869,-3.697,0.103,0.593,0.0789,0.599,2,"David Guetta"
"She Wolf (Falling to Pieces) (feat. Sia)",0.857,-2.634,0.344,0.393,0.0655,0.492,2,"David Guetta"
"Sexy Bitch (feat. Akon)",0.627,-5.018,0.131,0.801,0.0486,0.813,2,"David Guetta"
"Turn Me On (feat. Nicki Minaj)",0.793,-2.266,0.575,0.412,0.0591,0.704,2,"David Guetta"
"Flames",0.649,-5.892,0.0934,0.421,0.0385,0.631,2,"David Guetta"
"Titanium (feat. Sia) - Alesso Remix",0.652,-6.826,0.0894,0.13,0.0461,0.696,2,"David Guetta"
"Say My Name",0.66,-5.119,0.192,0.79,0.123,0.703,2,"David Guetta"
"Bang My Head (feat. Sia & Fetty Wap)",0.869,-3.697,0.103,0.593,0.0789,0.599,2,"David Guetta"
"Make It To Heaven (with Raye)",0.92,-4.697,0.185,0.35,0.0914,0.587,2,"David Guetta"
"Thing For You - David Guetta Remix",0.867,-4.402,0.115,0.452,0.061,0.44,2,"David Guetta"
"Metropolis",0.982,-2.894,0.244,0.364,0.13,0.691,2,"David Guetta"
"Blast Off - Radio Edit",0.993,-1.702,0.197,0.128,0.18,0.656,2,"David Guetta"
"Thing For You - David Guetta Remix",0.867,-4.402,0.115,0.452,0.061,0.44,2,"David Guetta"
"Make It To Heaven (with Raye)",0.92,-4.697,0.185,0.35,0.0914,0.587,2,"David Guetta"
"Titanium (feat. Sia) - Alesso Remix",0.652,-6.826,0.0894,0.13,0.0461,0.696,2,"David Guetta"
"She Wolf (Falling to Pieces) (feat. Sia)",0.857,-2.634,0.344,0.393,0.0655,0.492,2,"David Guetta"
"Metropolis",0.982,-2.894,0.244,0.364,0.13,0.691,2,"David Guetta"
"Blast Off - Radio Edit",0.993,-1.702,0.197,0.128,0.18,0.656,2,"David Guetta"
"Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix",0.995,-2.325,0.0445,0.664,0.0487,0.607,1,"David Guetta"
"2U",0.651,-5.828,0.224,0.562,0.0594,0.551,1,"David Guetta"
"Stay (Don't Go Away) [feat. Raye]",0.797,-5.68,0.199,0.552,0.0624,0.669,1,"David Guetta"
"Sunshine",0.8,-5.044,0.0512,0.219,0.0437,0.59,1,"David Guetta"
"2U (feat. Justin Bieber)",0.65,-5.827,0.225,0.557,0.0591,0.548,1,"David Guetta"
"This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016)",0.915,-3.456,0.0905,0.365,0.0488,0.367,1,"David Guetta"
"Dangerous (feat. Sam Martin)",0.747,-4.838,0.107,0.43,0.0795,0.466,1,"David Guetta"
"Rise (feat. Skylar Grey)",0.717,-2.893,0.119,0.253,0.0511,0.656,1,"David Guetta"
"I Can Only Imagine (feat. Chris Brown & Lil Wayne)",0.939,-2.06,0.335,0.264,0.0427,0.67,1,"David Guetta"
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",0.73,-4.091,0.325,0.525,0.151,0.596,1,"David Guetta"
"Where Them Girls At (feat. Nicki Minaj & Flo Rida)",0.876,-3.078,0.259,0.552,0.0414,0.666,1,"David Guetta"
"Would I Lie to You - Radio Edit",0.826,-5.766,0.631,0.774,0.309,0.671,1,"David Guetta"
"Play Hard (feat. Ne-Yo & Akon) - New Edit",0.87,-3.013,0.656,0.678,0.0435,0.723,1,"David Guetta"
"Little Bad Girl (feat. Taio Cruz & Ludacris)",0.829,-2.748,0.358,0.648,0.0334,0.668,1,"David Guetta"
"Who's That Chick? (feat. Rihanna)",0.601,-4.733,0.0458,0.931,0.116,0.675,1,"David Guetta"
"Lovers on the Sun (feat. Sam Martin) - Stadiumx Remix",0.9,-2.827,0.0638,0.278,0.0418,0.632,1,"David Guetta"
"Say My Name (feat. Bebe Rexha & J Balvin) - Afrojack & Chasner Remix",0.91,-3.916,0.0783,0.239,0.0594,0.406,1,"David Guetta"
"Make It To Heaven (with Raye) - Rework",0.62,-8.073,0.102,0.443,0.0375,0.679,1,"David Guetta"
"Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix",0.747,-5.289,0.174,0.516,0.165,0.678,1,"David Guetta"
