"track_name","energy","liveness","valence","speechiness","danceability","track_artist","playlist_genre","count"
"Better When You're Gone",0.795,0.188,0.409,0.0372,0.647,"David Guetta","pop",3
"Like I Do",0.9,0.37,0.15,0.0377,0.635,"David Guetta","pop",3
"Titanium (feat. Sia)",0.787,0.127,0.301,0.103,0.604,"David Guetta","pop",3
"Bad (feat. Vassy) - Radio Edit",0.972,0.328,0.411,0.088,0.614,"David Guetta","pop",2
"Memories (feat. Kid Cudi)",0.899,0.229,0.47,0.233,0.546,"David Guetta","rap",1
"Play Hard (feat. Ne-Yo & Akon)",0.921,0.331,0.8,0.0533,0.691,"David Guetta","rap",1
"Bad (feat. Vassy) - Radio Edit",0.972,0.328,0.411,0.088,0.614,"David Guetta","edm",4
"Like I Do",0.9,0.37,0.15,0.0377,0.635,"David Guetta","edm",3
"Lovers on the Sun (feat. Sam Martin)",0.891,0.379,0.568,0.0387,0.645,"David Guetta","edm",3
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,0.115,0.035,0.0549,0.347,"David Guetta","edm",3
