"track_name","energy","liveness","valence","speechiness","danceability","track_artist","playlist_genre","count"
"Helicopter - Video Edit",0.96,0.175,0.165,0.0379,0.584,"Martin Garrix","edm",5
"Bad (feat. Vassy) - Radio Edit",0.972,0.328,0.411,0.088,0.614,"David Guetta","edm",4
"Lions in the Wild",0.847,0.816,0.28,0.0442,0.504,"Martin Garrix","edm",4
"Dreamer - Nicky Romero Remix",0.751,0.253,0.346,0.0599,0.435,"Martin Garrix","edm",3
"Forbidden Voices",0.711,0.135,0.3,0.0368,0.534,"Martin Garrix","edm",3
"High On Life (feat. Bonn)",0.486,0.111,0.368,0.0311,0.414,"Martin Garrix","edm",3
"Hold On (feat. Michel Zitron)",0.711,0.559,0.321,0.0385,0.422,"Martin Garrix","edm",3
"In the Name of Love",0.519,0.454,0.168,0.0409,0.501,"Martin Garrix","edm",3
"Like I Do",0.9,0.37,0.15,0.0377,0.635,"David Guetta","edm",3
"Lovers on the Sun (feat. Sam Martin)",0.891,0.379,0.568,0.0387,0.645,"David Guetta","edm",3
"Mistaken (feat. Alex Aris)",0.694,0.133,0.0801,0.0386,0.424,"Martin Garrix","edm",3
"No Sleep (feat. Bonn) - DubVision Remix",0.79,0.213,0.291,0.0589,0.584,"Martin Garrix","edm",3
"Shot Me Down (feat. Skylar Grey) - Radio Edit",0.772,0.115,0.035,0.0549,0.347,"David Guetta","edm",3
"Used To Love (with Dean Lewis)",0.693,0.335,0.392,0.0375,0.651,"Martin Garrix","edm",3
"Waiting For Tomorrow (feat. Mike Shinoda)",0.887,0.562,0.336,0.141,0.507,"Martin Garrix","edm",3
