"track_name","energy","liveness","valence","speechiness","danceability","track_artist","playlist_genre","count"
"Closer (feat. Halsey)",0.524,0.111,0.661,0.0338,0.748,"The Chainsmokers","latin",3
"Danza Kuduro",0.915,0.0503,0.878,0.28,0.4,"Don Omar","latin",3
"Perdido En Tus Ojos",0.882,0.226,0.787,0.0312,0.684,"Don Omar","latin",3
"Zumba",0.894,0.128,0.832,0.0397,0.729,"Don Omar","latin",3
"Blue Zone",0.712,0.455,0.478,0.0541,0.796,"Don Omar","latin",2
"Call You Mine",0.702,0.414,0.501,0.0289,0.591,"The Chainsmokers","latin",2
"Dale Don Dale",0.852,0.13,0.813,0.0789,0.825,"Don Omar","latin",2
"Dile",0.714,0.042,0.714,0.141,0.817,"Don Omar","latin",2
"Dutty Love",0.873,0.114,0.899,0.082,0.742,"Don Omar","latin",2
"En Su Nota",0.843,0.156,0.883,0.272,0.657,"Don Omar","latin",2
"Good Looking",0.88,0.814,0.757,0.156,0.629,"Don Omar","latin",2
"Guaya Guaya",0.873,0.0908,0.703,0.117,0.788,"Don Omar","latin",2
"Hasta Abajo",0.919,0.0882,0.683,0.0792,0.697,"Don Omar","latin",2
"Hooka",0.863,0.491,0.818,0.154,0.73,"Don Omar","latin",2
"No Se De Ella ""My Space""",0.676,0.242,0.77,0.0934,0.815,"Don Omar","latin",2
