"track_artist","track_name","energy","loudness","liveness","valence","speechiness","danceability","playlist_genre","count"
"David Guetta","Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix",0.995,-2.325,0.0445,0.664,0.0487,0.607,"pop",1
"The Chainsmokers","Call You Mine",0.702,-5.59,0.414,0.501,0.0289,0.591,"pop",7
"The Chainsmokers","Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,"pop",8
"Martin Garrix","Home (feat. Bonn)",0.612,-4.855,0.132,0.236,0.0307,0.466,"pop",2
"The Chainsmokers","Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,"pop",10
"Martin Garrix","Scared to Be Lonely",0.54,-7.786,0.261,0.195,0.0576,0.584,"pop",3
"David Guetta","2U",0.651,-5.828,0.224,0.562,0.0594,0.551,"pop",1
"The Chainsmokers","Something Just Like This",0.635,-6.769,0.164,0.446,0.0317,0.617,"pop",5
"The Chainsmokers","Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,"pop",7
"David Guetta","Flames",0.726,-4.346,0.0895,0.362,0.0414,0.609,"pop",2
"David Guetta","Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,"pop",6
"The Chainsmokers","Call You Mine - Asketa & Natan Chaim Remix",0.844,-3.364,0.499,0.283,0.0406,0.577,"pop",1
"David Guetta","Stay (Don't Go Away) [feat. Raye]",0.797,-5.68,0.199,0.552,0.0624,0.669,"pop",1
"Martin Garrix","Used To Love (with Dean Lewis)",0.693,-4.722,0.335,0.392,0.0375,0.651,"pop",4
"David Guetta","Never Be Alone (feat. Aloe Blacc)",0.906,-4.699,0.0886,0.732,0.0353,0.535,"pop",3
"Martin Garrix","These Are The Times (feat. JRM)",0.707,-6.19,0.16,0.607,0.0328,0.687,"pop",4
"David Guetta","Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,"pop",5
"Martin Garrix","Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)",0.723,-6.976,0.14,0.316,0.0566,0.661,"pop",2
"Martin Garrix","High On Life (feat. Bonn)",0.486,-6.431,0.111,0.368,0.0311,0.414,"pop",6
"Martin Garrix","Burn Out (feat. Dewain Whitmore)",0.722,-5.751,0.0667,0.407,0.0398,0.594,"pop",3
"Martin Garrix","Glitch",0.792,-6.4,0.269,0.357,0.0325,0.715,"pop",3
"David Guetta","Like I Do",0.9,-3.719,0.37,0.15,0.0377,0.635,"pop",6
"Martin Garrix","In the Name of Love",0.519,-5.88,0.454,0.168,0.0409,0.501,"pop",5
"David Guetta","Sunshine",0.8,-5.044,0.0512,0.219,0.0437,0.59,"pop",1
"The Chainsmokers","Somebody",0.616,-7.074,0.0928,0.292,0.0328,0.532,"pop",3
"The Chainsmokers","Something Just Like This - Alesso Remix",0.73,-5.99,0.122,0.568,0.0472,0.672,"pop",3
"Martin Garrix","Forever",0.898,-3.604,0.166,0.22,0.0395,0.45,"pop",3
"The Chainsmokers","Don't Let Me Down - Illenium Remix",0.656,-3.712,0.15,0.355,0.075,0.428,"pop",4
"Martin Garrix","Lions in the Wild",0.847,-6.81,0.816,0.28,0.0442,0.504,"pop",5
"David Guetta","Lovers on the Sun (feat. Sam Martin)",0.891,-2.505,0.379,0.568,0.0387,0.645,"pop",4
"Martin Garrix","Now That I've Found You",0.831,-5.812,0.495,0.414,0.0319,0.495,"pop",2
"The Chainsmokers","Family",0.607,-6.605,0.101,0.374,0.0356,0.584,"pop",5
"The Chainsmokers","Push My Luck",0.643,-6.415,0.186,0.53,0.0395,0.584,"pop",3
"The Chainsmokers","Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,-9.827,0.118,0.566,0.0394,0.6,"pop",3
"The Chainsmokers","Kills You Slowly",0.429,-8.736,0.128,0.242,0.0554,0.696,"pop",1
"Martin Garrix","Mistaken (feat. Alex Aris)",0.694,-4.912,0.133,0.0801,0.0386,0.424,"pop",5
"The Chainsmokers","Paris",0.644,-6.763,0.0888,0.251,0.031,0.646,"pop",2
"David Guetta","Say My Name",0.66,-5.119,0.192,0.79,0.123,0.703,"pop",2
"The Chainsmokers","Who Do You Love",0.835,-4.673,0.219,0.435,0.0447,0.51,"pop",4
"The Chainsmokers","Something Just Like This",0.649,-6.695,0.174,0.505,0.0362,0.607,"pop",5
"The Chainsmokers","Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,"pop",6
"The Chainsmokers","Takeaway (feat. Lennon Stella)",0.505,-8.106,0.0977,0.357,0.042,0.294,"pop",8
"Martin Garrix","No Sleep (feat. Bonn)",0.635,-6.385,0.121,0.327,0.0326,0.44,"pop",5
"David Guetta","Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,"pop",5
"Martin Garrix","Mistaken (feat. Alex Aris)",0.694,-4.912,0.133,0.0801,0.0386,0.424,"pop",5
"Martin Garrix","High On Life (feat. Bonn)",0.486,-6.431,0.111,0.368,0.0311,0.414,"pop",6
"The Chainsmokers","Takeaway",0.511,-8.144,0.101,0.351,0.0324,0.528,"pop",1
"The Chainsmokers","Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,"pop",10
"David Guetta","Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,"pop",6
"Queen","Don't Stop Me Now - 2011 Mix",0.865,-5.277,0.77,0.601,0.16,0.563,"pop",2
"The Chainsmokers","Push My Luck",0.643,-6.415,0.186,0.53,0.0395,0.584,"pop",3
"David Guetta","Turn Me On (feat. Nicki Minaj)",0.793,-2.266,0.575,0.412,0.0591,0.704,"pop",2
"David Guetta","Sexy Bitch (feat. Akon)",0.627,-5.018,0.131,0.801,0.0486,0.813,"pop",2
"Don Omar","Danza Kuduro",0.915,-4.89,0.0503,0.878,0.28,0.4,"pop",5
"The Chainsmokers","Don't Let Me Down",0.869,-5.094,0.136,0.422,0.172,0.532,"pop",6
"The Chainsmokers","Closer (feat. Halsey)",0.524,-5.599,0.111,0.661,0.0338,0.748,"pop",10
"The Chainsmokers","Something Just Like This",0.649,-6.695,0.174,0.505,0.0362,0.607,"pop",5
"David Guetta","2U (feat. Justin Bieber)",0.65,-5.827,0.225,0.557,0.0591,0.548,"pop",1
"David Guetta","Titanium (feat. Sia)",0.787,-3.674,0.127,0.301,0.103,0.604,"pop",6
"Martin Garrix","Scared to Be Lonely",0.54,-7.786,0.261,0.195,0.0576,0.584,"pop",3
"David Guetta","Bang My Head (feat. Sia & Fetty Wap)",0.869,-3.697,0.103,0.593,0.0789,0.599,"pop",2
"The Chainsmokers","This Feeling (feat. Kelsea Ballerini)",0.651,-5.304,0.0662,0.474,0.0432,0.539,"pop",1
"Martin Garrix","High On Life (feat. Bonn)",0.486,-6.431,0.111,0.368,0.0311,0.414,"pop",6
"The Chainsmokers","Hope",0.699,-5.982,0.0814,0.513,0.0958,0.773,"pop",1
"The Chainsmokers","Who Do You Love",0.835,-4.673,0.219,0.435,0.0447,0.51,"pop",4
"David Guetta","Better When You're Gone",0.795,-3.548,0.188,0.409,0.0372,0.647,"pop",5
"Martin Garrix","No Sleep (feat. Bonn)",0.635,-6.385,0.121,0.327,0.0326,0.44,"pop",5
"Martin Garrix","In the Name of Love",0.519,-5.88,0.454,0.168,0.0409,0.501,"pop",5
"David Guetta","This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016)",0.915,-3.456,0.0905,0.365,0.0488,0.367,"pop",1
"The Chainsmokers","Roses",0.802,-7.055,0.309,0.343,0.0561,0.713,"pop",7
"David Guetta","Dangerous (feat. Sam Martin)",0.747,-4.838,0.107,0.43,0.0795,0.466,"pop",1
