"track_name","energy","liveness","valence","speechiness","danceability","track_artist","playlist_genre","count"
"Closer (feat. Halsey)",0.524,0.111,0.661,0.0338,0.748,"The Chainsmokers","pop",4
"Better When You're Gone",0.795,0.188,0.409,0.0372,0.647,"David Guetta","pop",3
"Don't Let Me Down",0.869,0.136,0.422,0.172,0.532,"The Chainsmokers","pop",3
"High On Life (feat. Bonn)",0.486,0.111,0.368,0.0311,0.414,"Martin Garrix","pop",3
"Like I Do",0.9,0.37,0.15,0.0377,0.635,"David Guetta","pop",3
"No Sleep (feat. Bonn)",0.635,0.121,0.327,0.0326,0.44,"Martin Garrix","pop",3
"Roses",0.802,0.309,0.343,0.0561,0.713,"The Chainsmokers","pop",3
"Takeaway (feat. Lennon Stella)",0.505,0.0977,0.357,0.042,0.294,"The Chainsmokers","pop",3
"Titanium (feat. Sia)",0.787,0.127,0.301,0.103,0.604,"David Guetta","pop",3
"Who Do You Love",0.835,0.219,0.435,0.0447,0.51,"The Chainsmokers","pop",3
"All We Know",0.586,0.115,0.296,0.0307,0.662,"The Chainsmokers","pop",2
"Bad (feat. Vassy) - Radio Edit",0.972,0.328,0.411,0.088,0.614,"David Guetta","pop",2
"Call You Mine",0.702,0.414,0.501,0.0289,0.591,"The Chainsmokers","pop",2
"Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,0.118,0.566,0.0394,0.6,"The Chainsmokers","pop",2
"In the Name of Love",0.519,0.454,0.168,0.0409,0.501,"Martin Garrix","pop",2
