"track_name","energy","liveness","valence","speechiness","danceability","track_artist","playlist_genre","count"
"39 - 2011 Mix",0.571,0.111,0.373,0.0273,0.524,"Queen","rock",2
"Another One Bites The Dust - Remastered 2011",0.528,0.163,0.754,0.161,0.933,"Queen","rock",2
"Bohemian Rhapsody - 2011 Mix",0.402,0.243,0.228,0.0536,0.392,"Queen","rock",2
"Death On Two Legs (Dedicated To...) - Remastered 2011",0.691,0.133,0.499,0.0554,0.373,"Queen","rock",2
"Princes Of The Universe",0.623,0.313,0.34,0.0633,0.396,"Queen","rock",2
"Sheer Heart Attack - Remastered 2011",0.938,0.359,0.383,0.126,0.155,"Queen","rock",2
"Somebody To Love - 2011 Mix",0.693,0.215,0.358,0.0565,0.497,"Queen","rock",2
"Somebody To Love - 2011 Mix",0.698,0.127,0.349,0.0629,0.466,"Queen","rock",2
"Stone Cold Crazy - Remastered 2011",0.922,0.0954,0.439,0.0924,0.429,"Queen","rock",2
"We Are The Champions - Remastered 2011",0.459,0.118,0.175,0.0346,0.268,"Queen","rock",2
"We Will Rock You - Remastered",0.497,0.258,0.473,0.119,0.693,"Queen","rock",2
"Action This Day - Remastered 2011",0.478,0.0801,0.909,0.0403,0.727,"Queen","rock",1
"All Dead, All Dead - Remastered 2011",0.0765,0.114,0.305,0.0416,0.491,"Queen","rock",1
"Another One Bites The Dust",0.392,0.123,0.771,0.122,0.922,"Queen","rock",1
"Another One Bites The Dust - Remastered 2011",0.528,0.163,0.756,0.162,0.933,"Queen","rock",1
