"track_name","energy","liveness","valence","speechiness","danceability","track_artist","playlist_genre","count"
"Takeaway (feat. Lennon Stella)",0.505,0.0977,0.357,0.042,0.294,"The Chainsmokers","r&b",2
"Call You Mine",0.702,0.414,0.501,0.0289,0.591,"The Chainsmokers","r&b",1
"Closer (feat. Halsey)",0.524,0.111,0.661,0.0338,0.748,"The Chainsmokers","r&b",1
"Do You Mean (feat. Ty Dolla $ign & bülow)",0.666,0.118,0.566,0.0394,0.6,"The Chainsmokers","r&b",1
"Family",0.607,0.101,0.374,0.0356,0.584,"The Chainsmokers","r&b",1
"Roses",0.802,0.309,0.343,0.0561,0.713,"The Chainsmokers","r&b",1
"Sick Boy",0.58,0.127,0.462,0.121,0.548,"The Chainsmokers","r&b",1
"So Far Away (feat. Jamie Scott & Romy Dya)",0.52,0.197,0.13,0.0569,0.526,"Martin Garrix","r&b",1
"Somebody",0.63,0.102,0.323,0.0493,0.32,"The Chainsmokers","r&b",1
"Who Do You Love",0.783,0.174,0.493,0.0388,0.529,"The Chainsmokers","r&b",1
